iter	Passed	Remaining
821	7289	1578
822	7297	1569
823	7307	1560
824	7316	1552
825	7325	1543
826	7335	1534
827	7344	1525
828	7352	1516
829	7359	1507
830	7370	1498
831	7380	1490
832	7389	1481
833	7401	1473
834	7408	1463
835	7413	1454
836	7423	1445
837	7429	1436
838	7437	1427
839	7445	1418
840	7456	1409
841	7465	1400
842	7473	1391
843	7483	1383
844	7490	1373
845	7498	1364
846	7507	1356
847	7516	1347
848	7525	1338
849	7535	1329
850	7544	1320
851	7555	1312
852	7563	1303
853	7572	1294
854	7578	1285
855	7587	1276
856	7596	1267
857	7605	1258
858	7611	1249
859	7619	1240
860	7628	1231
861	7635	1222
862	7644	1213
863	7652	1204
864	7659	1195
865	7667	1186
866	7677	1177
867	7690	1169
868	7698	1160
869	7706	1151
870	7718	1143
871	7727	1134
872	7738	1125
873	7747	1116
874	7752	1107
875	7762	1098
876	7767	1089
877	7777	1080
878	7787	1071
879	7796	1063
880	7806	1054
881	7814	1045
882	7825	1036
883	7832	1027
884	7841	1018
885	7852	1010
886	7864	1001
887	7871	992
888	7882	984
889	7891	975
890	7901	966
891	7912	957
892	7922	949
893	7933	940
894	7940	931
895	7950	922
896	7961	914
897	7968	905
898	7976	896
899	7983	887
900	7991	878
901	7999	869
902	8004	859
903	8011	850
904	8019	841
905	8028	833
906	8036	824
907	8046	815
908	8054	806
909	8062	797
910	8070	788
911	8077	779
912	8087	770
913	8098	761
914	8107	753
915	8116	744
916	8124	735
917	8132	726
918	8141	717
919	8150	708
920	8157	699
921	8166	690
922	8174	681
923	8182	673
924	8191	664
925	8201	655
926	8211	646
927	8219	637
928	8226	628
929	8236	619
930	8243	610
931	8250	601
932	8262	593
933	8273	584
934	8285	575
935	8294	567
936	8303	558
937	8310	549
938	8319	540
939	8326	531
940	8336	522
941	8344	513
942	8357	505
943	8368	496
944	8379	487
945	8389	478
946	8394	469
947	8407	461
948	8416	452
949	8421	443
950	8429	434
951	8442	425
952	8453	416
953	8460	407
954	8473	399
955	8484	390
956	8492	381
957	8507	372
958	8517	364
959	8527	355
960	8539	346
961	8549	337
962	8560	328
963	8568	319
964	8576	311
965	8584	302
966	8592	293
967	8600	284
968	8606	275
969	8614	266
970	8625	257
971	8631	248
972	8641	239
973	8648	230
974	8659	222
975	8669	213
976	8678	204
977	8693	195
978	8709	186
979	8721	177
980	8733	169
981	8741	160
982	8750	151
983	8758	142
984	8763	133
985	8769	124
986	8775	115
987	8781	106
988	8785	97
989	8790	88
990	8793	79
991	8797	70
992	8800	62
993	8804	53
994	8807	44
995	8811	35
996	8814	26
997	8817	17
998	8820	8
999	8823	0
61
993	8771	52
994	8779	44
995	8786	35
996	8792	26
997	8799	17
998	8804	8
999	8808	0
